Designator,Val,Package,Mid X,Mid Y,Rot,Side
"C1","1.5pF","C_0603",68.453000,-111.010000,270.000000,top
"C2","100nF","C_0603",54.864000,-114.034000,90.000000,top
"C3","1pF","C_0603",66.548000,-112.510000,270.000000,top
"C4","12pF","C_0603",79.756000,-112.268000,0.000000,top
"C5","1.5pF","C_0603",70.866000,-113.284000,180.000000,top
"C6","3.3pF","C_0603",73.926000,-113.792000,180.000000,top
"C7","47pF","C_0603",78.474000,-113.792000,180.000000,top
"C8","DC","C_0603",53.975000,-117.856000,270.000000,top
"C9","DC","C_0603",62.484000,-116.090000,270.000000,top
"C10","100pF","C_0603",70.854000,-114.935000,0.000000,top
"C11","27pF","C_0603",55.372000,-119.114000,90.000000,top
"C12","27pF","C_0603",61.468000,-119.114000,270.000000,top
"C13","DC","C_0603",54.483000,-103.886000,0.000000,top
"C14","DC","C_0603",52.324000,-108.954000,270.000000,top
"C15","DC","C_0603",60.452000,-107.430000,90.000000,top
"C16","DC","C_0603",61.976000,-109.994000,90.000000,top
"C17","1.5pF","C_0603",68.326000,-70.370000,270.000000,top
"C18","100nF","C_0603",54.864000,-73.394000,90.000000,top
"C19","1pF","C_0603",66.548000,-71.870000,270.000000,top
"C20","12pF","C_0603",79.756000,-71.628000,0.000000,top
"C21","1.5pF","C_0603",70.866000,-72.644000,180.000000,top
"C22","3.3pF","C_0603",73.926000,-73.152000,180.000000,top
"C23","47pF","C_0603",78.474000,-73.152000,180.000000,top
"C24","DC","C_0603",53.975000,-77.216000,270.000000,top
"C25","DC","C_0603",62.484000,-75.450000,270.000000,top
"C26","100pF","C_0603",70.600000,-74.295000,0.000000,top
"C27","27pF","C_0603",55.372000,-78.474000,90.000000,top
"C28","27pF","C_0603",61.468000,-78.474000,270.000000,top
"C29","DC","C_0603",52.070000,-87.503000,90.000000,top
"C30","DC","C_0603",52.324000,-68.314000,270.000000,top
"C31","DC","C_0603",60.452000,-66.790000,90.000000,top
"C32","DC","C_0603",61.976000,-69.354000,90.000000,top
"JP1","ISO_RX","R_0603",82.296000,-76.860400,270.000000,top
"JP2","ISO_TX","R_0603",81.724500,-107.442000,90.000000,top
"L1","12nH","L_0603",63.996000,-111.760000,0.000000,top
"L2","18nH","L_0603",70.878000,-111.760000,0.000000,top
"L3","12nH","L_0603",73.902000,-112.268000,0.000000,top
"L4","12nH","L_0603",76.708000,-112.268000,0.000000,top
"L5","12nH","L_0603",63.234000,-113.538000,180.000000,top
"L6","3.3nH","L_0603",81.522000,-113.792000,180.000000,top
"L7","18nH","L_0603",68.453000,-114.034000,270.000000,top
"L8","12nH","L_0603",63.996000,-71.120000,0.000000,top
"L9","18nH","L_0603",70.878000,-71.120000,0.000000,top
"L10","12nH","L_0603",73.902000,-71.628000,0.000000,top
"L11","12nH","L_0603",76.708000,-71.628000,0.000000,top
"L12","12nH","L_0603",63.234000,-72.898000,180.000000,top
"L13","3.3nH","L_0603",81.522000,-73.152000,180.000000,top
"L14","18nH","L_0603",68.326000,-73.394000,270.000000,top
"R1","PICross","R_0603",84.429600,-80.111600,270.000000,top
"R2","PILeg","R_0603",81.546000,-78.994000,0.000000,top
"R3","PILeg","R_0603",82.104800,-81.381600,0.000000,top
"R7","56K","R_0603",58.154000,-106.680000,0.000000,top
"R8","56K","R_0603",58.420000,-65.786000,0.000000,top
"U1","CC1101","QFN-20-1EP_4x4mm_Pitch0.5mm",58.420000,-111.760000,270.00,top
"U2","CC1101","QFN-20-1EP_4x4mm_Pitch0.5mm",58.420000,-71.120000,270.00,top
"Y1","26Mhz","Crystal_SMD_3225-4pin_3.2x2.5mm",58.420000,-78.232000,0.000000,top
"Y2","26Mhz","Crystal_SMD_3225-4pin_3.2x2.5mm",58.420000,-118.872000,0.000000,top
